      Energy               down 
      -19.41975000        1.55021322
      -19.41700000        1.46184050
      -19.41425000        1.37360312
      -19.41150000        1.28550107
      -19.40875000        1.19753436
      -19.40600000        3.84683041
      -19.40325000        3.76112640
      -19.40050000        4.21084250
      -19.39775000        6.64187419
      -19.39500000        7.29897540
      -19.39225000        5.32543181
      -19.38950000        2.67812855
      -19.38675000        2.40907017
      -19.38400000        3.03739739
      -19.38125000        3.67162312
      -19.37850000        3.06530799
      -19.37575000        2.49172871
      -19.37300000        1.49757763
      -19.37025000        0.35666807
      -19.36750000        0.17650014
      -19.36475000        0.18150724
      -19.36200000        0.18650777
      -19.35925000        0.19150174
      -19.35650000        0.19648914
      -19.35375000        0.20146997
      -19.35100000        0.20644424
      -19.34825000        0.21141195
      -19.34550000        0.21637309
      -19.34275000        0.22132766
      -19.34000000        0.22627567
      -19.33725000        0.23121711
      -19.33450000        6.67404986
      -19.33175000        4.44158830
      -19.32900000        3.59768577
      -19.32625000        2.93258667
      -19.32350000        2.35710854
      -19.32075000        1.78156884
      -19.31800000        1.20596756
      -19.31525000        0.63030470
      -19.31250000        0.11927480
      -19.30975000        0.03232334
      -19.30700000        0.20793541
      -19.30425000        0.47585302
      -19.30150000        0.75296254
      -19.29875000        1.05209500
      -19.29600000        1.40734315
      -19.29325000        1.76623233
      -19.29050000        2.12575112
      -19.28775000        2.48589952
      -19.28500000        2.84667751
      -19.28225000        3.20808512
      -19.27950000        3.57012233
      -19.27675000        3.93278915
      -19.27400000        4.29608558
      -19.27125000        6.81665663
      -19.26850000       11.10817956
      -19.26575000        4.18096422
      -19.26300000        2.60036101
      -19.26025000        3.05187738
      -19.25750000        3.54426618
      -19.25475000        3.02118836
      -19.25200000        2.38205133
      -19.24925000        1.81880746
      -19.24650000        2.15639135
      -19.24375000        2.33529335
      -19.24100000        1.76168591
      -19.23825000        1.81909988
      -19.23550000        1.87644667
      -19.23275000        1.93372628
      -19.23000000        1.99093871
      -19.22725000        2.04808395
      -19.22450000        2.10516201
      -19.22175000        2.16217289
      -19.21900000        2.21911659
      -19.21625000        2.27599310
      -19.21350000        2.33280243
      -19.21075000        2.38954458
      -19.20800000        2.44621955
      -19.20525000        2.50282733
      -19.20250000        2.54633410
      -19.19975000        2.51381949
      -19.19700000        2.31615043
      -19.19425000        1.79324738
      -19.19150000        1.07947327
      -19.18875000        1.02781029
      -19.18600000        0.97598622
      -19.18325000        1.34120698
      -19.18050000        1.82145198
      -19.17775000        2.30201526
      -19.17500000        2.78289681
      -19.17225000        3.26409664
      -19.16950000        3.74561473
      -19.16675000        1.91167619
      -19.16400000        1.83264536
      -19.16125000        5.00036521
      -19.15850000        3.44601389
      -19.15575000        3.55698044
      -19.15300000        3.66899844
      -19.15025000        3.78206788
      -19.14750000        3.89618876
      -19.14475000        4.01136108
      -19.14200000        3.76749065
      -19.13925000        3.65436618
      -19.13650000        3.70658810
      -19.13375000        3.86796902
      -19.13100000        3.18148110
      -19.12825000        2.56328204
      -19.12550000        2.31873656
      -19.12275000        2.36438129
      -19.12000000        2.40661465
      -19.11725000        2.44543663
      -19.11450000        2.48084725
      -19.11175000        2.16553139
      -19.10900000        2.18425732
      -19.10625000        1.45120182
      -19.10350000        1.52253987
      -19.10075000        1.59400435
      -19.09800000        1.66559526
      -19.09525000        1.73731258
      -19.09250000        1.80915634
      -19.08975000        1.88112651
      -19.08700000        1.95322312
      -19.08425000        2.02544614
      -19.08150000        2.50374682
      -19.07875000        3.14351719
      -19.07600000        3.80707546
      -19.07325000        4.48706553
      -19.07050000        5.18565714
      -19.06775000        5.88786465
      -19.06500000        4.39329053
      -19.06225000        2.66158503
      -19.05950000        1.96220297
      -19.05675000        1.98106708
      -19.05400000        2.00020583
      -19.05125000        2.01961923
      -19.04850000        2.22412020
      -19.04575000        2.49240699
      -19.04300000        2.76144310
      -19.04025000        3.05584709
      -19.03750000        3.39496957
      -19.03475000        3.61953358
      -19.03200000        3.65297898
      -19.02925000        3.68695703
      -19.02650000        3.89248289
      -19.02375000        4.11217580
      -19.02100000        4.39483839
      -19.01825000        7.11944161
      -19.01550000       11.76738978
      -19.01275000        7.28667739
      -19.01000000        5.85856971
      -19.00725000        1.57455314
      -19.00450000        1.74785151
      -19.00175000        1.80346918
      -18.99900000        1.77247391
      -18.99625000        1.74136521
      -18.99350000        1.71014309
      -18.99075000        1.67880755
      -18.98800000        1.64735859
      -18.98525000        1.61579620
      -18.98250000        1.58412039
      -18.97975000        1.55233115
      -18.97700000        1.95081913
      -18.97425000        3.23981077
      -18.97150000        3.18606923
      -18.96875000        3.13214607
      -18.96600000        3.07804128
      -18.96325000        3.02375486
      -18.96050000        2.96928682
      -18.95775000        4.69267175
      -18.95500000        4.59061061
      -18.95225000        5.21934288
      -18.94950000        6.20120644
      -18.94675000        5.98292797
      -18.94400000        5.76267507
      -18.94125000       10.24147706
      -18.93850000        6.70816261
      -18.93575000        5.88027779
      -18.93300000        5.43172335
      -18.93025000        4.97944094
      -18.92750000        4.62711986
      -18.92475000        4.33021406
      -18.92200000        4.11932088
      -18.91925000        3.96869125
      -18.91650000        3.84155729
      -18.91375000        3.73380248
      -18.91100000        3.74773208
      -18.90825000        7.60861773
      -18.90550000       10.53359419
      -18.90275000        6.18486801
      -18.90000000        8.48940699
      -18.89725000        4.12409815
      -18.89450000        3.26468251
      -18.89175000        5.85718327
      -18.88900000        3.56686298
      -18.88625000        4.29005218
      -18.88350000        5.04729514
      -18.88075000        5.83859189
      -18.87800000        6.66394240
      -18.87525000        7.52334670
      -18.87250000        8.41680477
      -18.86975000        2.05100724
      -18.86700000        7.22123476
      -18.86425000       10.36115614
      -18.86150000       11.57468319
      -18.85875000       11.01888203
      -18.85600000        9.10228791
      -18.85325000       10.11146412
      -18.85050000       11.85169712
      -18.84775000        1.65950838
      -18.84500000        0.46155495
      -18.84225000        1.47471318
      -18.83950000        5.52909334
      -18.83675000        7.80640515
      -18.83400000        4.98908324
      -18.83125000        4.47085898
      -18.82850000        5.13923459
      -18.82575000        6.21269689
      -18.82300000        7.30786308
      -18.82025000        5.85580347
      -18.81750000        6.78748295
      -18.81475000        9.80618746
      -18.81200000       17.55584493
      -18.80925000       13.82873538
      -18.80650000       18.96561386
      -18.80375000       18.26144662
      -18.80100000       11.55514348
      -18.79825000        9.49328342
      -18.79550000        7.42357651
      -18.79275000        6.35382197
      -18.79000000        5.34473452
      -18.78725000        6.15875276
      -18.78450000        7.98337404
      -18.78175000       10.02838673
      -18.77900000       12.43585751
      -18.77625000       13.17654293
      -18.77350000       11.77836827
      -18.77075000       12.27239781
      -18.76800000       13.03906051
      -18.76525000       20.35991259
      -18.76250000        9.90357106
      -18.75975000        9.15676160
      -18.75700000       16.35217612
      -18.75425000       12.11444384
      -18.75150000       15.13382913
      -18.74875000       24.11150021
      -18.74600000       15.56634636
      -18.74325000       16.19401612
      -18.74050000       13.86691376
      -18.73775000       13.05847927
      -18.73500000       12.89295984
      -18.73225000       13.60921056
      -18.72950000        9.46822381
      -18.72675000       20.92774576
      -18.72400000       16.64759433
      -18.72125000       15.52837622
      -18.71850000       13.52564778
      -18.71575000       12.77784035
      -18.71300000        7.78434671
      -18.71025000        5.50882542
      -18.70750000       20.97866762
      -18.70475000       18.05973486
      -18.70200000        9.15238354
      -18.69925000        5.41909291
      -18.69650000       17.35993229
      -18.69375000       29.52112302
      -18.69100000       21.96291121
      -18.68825000       23.38768429
      -18.68550000       16.11952384
      -18.68275000       27.00370267
      -18.68000000       18.19899710
      -18.67725000        6.86353521
      -18.67450000       16.74437642
      -18.67175000       22.13031268
      -18.66900000        8.56945349
      -18.66625000       11.49516968
      -18.66350000       20.93069700
      -18.66075000       19.50208438
      -18.65800000       16.92328891
      -18.65525000       10.77950108
      -18.65250000       39.67720255
      -18.64975000       21.65682851
      -18.64700000       15.40527172
      -18.64425000       14.47464077
      -18.64150000       26.03514585
      -18.63875000       12.53162130
      -18.63600000       16.74994214
      -18.63325000       17.13627081
      -18.63050000       13.65775463
      -18.62775000       17.26590913
      -18.62500000        9.34746153
      -18.62225000       17.40078658
      -18.61950000       35.68222483
      -18.61675000       27.68498689
      -18.61400000       25.48585114
      -18.61125000       27.57977604
      -18.60850000       15.92932225
      -18.60575000       23.09940786
      -18.60300000       22.69228099
      -18.60025000       15.42665759
      -18.59750000       15.36041760
      -18.59475000       11.54982131
      -18.59200000       10.50908645
      -18.58925000       13.65270557
      -18.58650000       12.65565826
      -18.58375000       11.52483851
      -18.58100000       12.56998310
      -18.57825000       12.93655662
      -18.57550000        3.00059014
      -18.57275000        8.85307886
      -18.57000000       32.02815813
      -18.56725000       54.79039317
      -18.56450000       20.34214144
      -18.56175000       15.78584576
      -18.55900000       14.13976109
      -18.55625000       15.44558534
      -18.55350000       10.64960886
      -18.55075000        9.99768407
      -18.54800000       11.50752704
      -18.54525000       17.22998530
      -18.54250000       17.73183881
      -18.53975000       14.66419302
      -18.53700000       13.08958752
      -18.53425000       13.05899344
      -18.53150000       11.51116483
      -18.52875000       11.11715778
      -18.52600000       12.34017512
      -18.52325000       17.25949214
      -18.52050000        7.93295895
      -18.51775000       14.56604305
      -18.51500000       15.04217445
      -18.51225000       13.88245626
      -18.50950000       14.22626855
      -18.50675000       14.34638631
      -18.50400000       14.05748404
      -18.50125000       13.99084530
      -18.49850000       16.20836699
      -18.49575000       15.94757909
      -18.49300000       14.69016183
      -18.49025000       16.83809088
      -18.48750000       51.73447221
      -18.48475000       21.97338193
      -18.48200000       11.91907321
      -18.47925000        8.75171645
      -18.47650000        3.76158562
      -18.47375000        3.61373001
      -18.47100000        9.47730522
      -18.46825000       25.24881061
      -18.46550000       17.85151815
      -18.46275000       25.01623298
      -18.46000000       15.69959127
      -18.45725000       21.06001174
      -18.45450000       25.74037631
      -18.45175000       21.87534949
      -18.44900000       20.76659603
      -18.44625000       12.15703419
      -18.44350000       13.30682602
      -18.44075000        7.26222796
      -18.43800000       10.33483874
      -18.43525000       10.64659233
      -18.43250000        9.37842411
      -18.42975000        6.14115790
      -18.42700000        5.15597352
      -18.42425000        6.12072308
      -18.42150000        9.08878693
      -18.41875000        9.82178414
      -18.41600000       10.61700027
      -18.41325000       11.15768469
      -18.41050000        8.98598129
      -18.40775000        6.78409729
      -18.40500000        7.67091905
      -18.40225000       22.93021995
      -18.39950000        8.90934685
      -18.39675000        9.06436136
      -18.39400000       10.80396536
      -18.39125000       14.72671920
      -18.38850000       11.12728256
      -18.38575000       10.15852008
      -18.38300000        9.83175273
      -18.38025000        5.09953655
      -18.37750000        9.60906613
      -18.37475000        7.22554261
      -18.37200000        6.10627909
      -18.36925000       14.13452400
      -18.36650000        8.54263742
      -18.36375000       10.92023694
      -18.36100000       14.69197725
      -18.35825000       16.63560902
      -18.35550000       12.17680266
      -18.35275000        7.48855272
      -18.35000000        7.42444658
      -18.34725000       20.78837791
      -18.34450000       13.36763965
      -18.34175000        9.71661914
      -18.33900000        9.30530717
      -18.33625000        8.30163359
      -18.33350000        9.80623697
      -18.33075000       11.47223457
      -18.32800000       12.08679892
      -18.32525000       12.78434236
      -18.32250000        9.51960545
      -18.31975000        8.09993661
      -18.31700000       11.76836231
      -18.31425000       14.14188357
      -18.31150000       11.43261783
      -18.30875000       15.84036063
      -18.30600000       17.41255200
      -18.30325000       16.81895046
      -18.30050000       12.51233255
      -18.29775000       15.03503326
      -18.29500000       13.81575354
      -18.29225000       14.68079779
      -18.28950000       14.61369050
      -18.28675000       13.70390857
      -18.28400000       12.27256222
      -18.28125000       10.67722317
      -18.27850000        8.35386927
      -18.27575000       10.10320782
      -18.27300000       17.40442677
      -18.27025000       21.17719088
      -18.26750000        5.00279041
      -18.26475000       22.18913133
      -18.26200000       15.96679106
      -18.25925000        2.46135730
      -18.25650000       38.09514640
      -18.25375000        0.00000000
      -18.25100000        6.18056419
      -18.24825000       34.23944332
      -18.24550000       12.61181476
      -18.24275000       13.84855109
      -18.24000000       16.37378402
      -18.23725000       16.18662806
      -18.23450000       17.55746168
      -18.23175000       20.39617680
      -18.22900000       22.96952345
      -18.22625000       17.75207971
      -18.22350000       17.76996948
      -18.22075000       13.40870004
      -18.21800000       10.20497143
      -18.21525000       13.10525574
      -18.21250000       18.19908840
      -18.20975000       22.94030556
      -18.20700000       23.20497916
      -18.20425000       18.62208104
      -18.20150000       16.71097515
      -18.19875000       33.55455654
      -18.19600000       16.27730739
      -18.19325000       24.23979322
      -18.19050000       25.84857081
      -18.18775000       28.61290073
      -18.18500000       26.65710392
      -18.18225000       25.41611457
      -18.17950000       15.68293529
      -18.17675000        7.60236185
      -18.17400000        4.30326062
      -18.17125000        1.69324658
      -18.16850000        6.44142738
      -18.16575000       13.80681974
      -18.16300000       25.69179999
      -18.16025000       33.70310086
      -18.15750000       23.44942920
      -18.15475000       20.97264781
      -18.15200000       19.67800031
      -18.14925000       16.12598925
      -18.14650000       20.56432913
      -18.14375000       13.33379513
      -18.14100000       18.73253632
      -18.13825000       20.43249938
      -18.13550000       14.34971430
      -18.13275000       20.69718494
      -18.13000000       21.43688367
      -18.12725000       32.38457549
      -18.12450000       12.08114775
      -18.12175000       82.99415289
      -18.11900000       10.95639852
      -18.11625000       15.32905988
      -18.11350000       28.53945526
      -18.11075000       14.87240333
      -18.10800000       10.42485025
      -18.10525000        8.65876248
      -18.10250000        5.90587822
      -18.09975000       16.07670376
      -18.09700000       11.98777807
      -18.09425000        7.39942824
      -18.09150000       12.60535522
      -18.08875000       24.88210732
      -18.08600000       16.16243760
      -18.08325000        9.10549919
      -18.08050000        4.28181790
      -18.07775000        2.22512288
      -18.07500000       15.15072656
      -18.07225000       22.55851782
      -18.06950000        0.00000000
      -18.06675000        0.00000000
      -18.06400000       56.97877049
      -18.06125000        0.00000000
      -18.05850000        0.00000000
      -18.05575000        0.00000000
      -18.05300000        0.00000000
      -18.05025000        0.00000000
      -18.04750000        0.00000000
      -18.04475000        0.00000000
      -18.04200000        0.00000000
      -18.03925000        0.00000000
      -18.03650000        0.00000000
      -18.03375000        0.00000000
      -18.03100000        0.00000000
      -18.02825000        0.00000000
      -18.02550000        0.00000000
      -18.02275000        0.00000000
      -18.02000000        0.00000000
      -18.01725000        0.00000000
      -18.01450000        0.00000000
