      Energy                up 
      -19.05125000        2.04346827 
      -19.04850000        2.34278313 
      -19.04575000        2.61582322 
      -19.04300000        2.88964171 
      -19.04025000        3.19556389 
      -19.03750000        3.54390536 
      -19.03475000        3.69435126 
      -19.03200000        3.73071712 
      -19.02925000        3.80528488 
      -19.02650000        4.16145692 
      -19.02375000        4.51352528 
      -19.02100000        3.06480458 
      -19.01825000        9.53829495 
      -19.01550000       10.95107581 
      -19.01275000        6.69986913 
      -19.01000000        4.34300133 
      -19.00725000        1.66088957 
      -19.00450000        1.78628034 
      -19.00175000        1.79424728 
      -18.99900000        1.76384574 
      -18.99625000        1.73334368 
      -18.99350000        1.70274108 
      -18.99075000        1.67203796 
      -18.98800000        1.64123431 
      -18.98525000        1.61033013 
      -18.98250000        1.57932543 
      -18.97975000        1.54822019 
      -18.97700000        1.98350659 
      -18.97425000        3.23421747 
      -18.97150000        3.18180998 
      -18.96875000        3.12923680 
      -18.96600000        3.07649793 
      -18.96325000        3.02359336 
      -18.96050000        3.55806001 
      -18.95775000        4.69864027 
      -18.95500000        4.81814658 
      -18.95225000        5.46425277 
      -18.94950000        6.19624084 
      -18.94675000        5.97991563 
      -18.94400000        5.76175566 
      -18.94125000        5.04700013 
      -18.93850000        9.08065510 
      -18.93575000        5.82480260 
      -18.93300000        5.37491208 
      -18.93025000        4.92142322 
      -18.92750000        4.59566408 
      -18.92475000        4.29842689 
      -18.92200000        4.12501539 
      -18.91925000        3.99624953 
      -18.91650000        3.87260661 
      -18.91375000        3.78053226 
      -18.91100000        3.85096572 
      -18.90825000        9.83597939 
      -18.90550000       11.18196259 
      -18.90275000        8.85480612 
      -18.90000000        6.19199554 
      -18.89725000        3.92419449 
      -18.89450000        2.58963732 
      -18.89175000        4.75984802 
      -18.88900000        3.79947354 
      -18.88625000        4.56955670 
      -18.88350000        5.37657326 
      -18.88075000        6.22052320 
      -18.87800000        7.10140652 
      -18.87525000        8.01922322 
      -18.87250000        8.97397332 
      -18.86975000        5.09507021 
      -18.86700000        8.45338586 
      -18.86425000       11.39439263 
      -18.86150000        6.90297607 
      -18.85875000       10.36983016 
      -18.85600000        8.46144854 
      -18.85325000       11.50382551 
      -18.85050000        5.36344142 
      -18.84775000        0.84381085 
      -18.84500000        0.47549650 
      -18.84225000        2.28062967 
      -18.83950000        7.11244557 
      -18.83675000        8.43414321 
      -18.83400000        4.37857816 
      -18.83125000        4.75149508 
      -18.82850000        5.57373121 
      -18.82575000        6.56094664 
      -18.82300000        7.56421018 
      -18.82025000        5.04028620 
      -18.81750000        8.42411486 
      -18.81475000       14.41962676 
      -18.81200000       16.88495172 
      -18.80925000       21.65985312 
      -18.80650000       19.20439581 
      -18.80375000       15.82602647 
      -18.80100000       10.39149503 
      -18.79825000        8.82900770 
      -18.79550000        7.46742222 
      -18.79275000        5.72763431 
      -18.79000000        5.53652002 
      -18.78725000        6.71916342 
      -18.78450000        8.75498467 
      -18.78175000       11.04562598 
      -18.77900000       13.60852593 
      -18.77625000       12.70771048 
      -18.77350000       14.93559821 
      -18.77075000       11.76119482 
      -18.76800000       14.54888346 
      -18.76525000       11.54603668 
      -18.76250000        9.68145325 
      -18.75975000        8.90572317 
      -18.75700000       13.43862326 
      -18.75425000       11.86273301 
      -18.75150000       16.24899824 
      -18.74875000       19.89274428 
      -18.74600000       15.00428515 
      -18.74325000       15.46552633 
      -18.74050000       13.81178719 
      -18.73775000       14.05661879 
      -18.73500000       15.68048378 
      -18.73225000       11.74258852 
      -18.72950000       19.24863985 
      -18.72675000       24.12294294 
      -18.72400000       15.22928176 
      -18.72125000       16.54085609 
      -18.71850000       13.42414966 
      -18.71575000       12.33560934 
      -18.71300000        6.77602775 
      -18.71025000       13.57751581 
      -18.70750000       22.71929236 
      -18.70475000       15.56321335 
      -18.70200000        5.09026005 
      -18.69925000        8.41792446 
      -18.69650000       24.10192632 
      -18.69375000       32.89313712 
      -18.69100000       26.91406466 
      -18.68825000       19.23137046 
      -18.68550000       18.30945283 
      -18.68275000       22.20802264 
      -18.68000000       14.47246593 
      -18.67725000        5.92250794 
      -18.67450000       19.51886287 
      -18.67175000       21.71385070 
      -18.66900000        8.69086720 
      -18.66625000       12.22792814 
      -18.66350000       25.76498178 
      -18.66075000       13.40031251 
      -18.65800000       17.95669602 
      -18.65525000       13.27739645 
      -18.65250000       25.22425903 
      -18.64975000       21.64133250 
      -18.64700000       11.39849133 
      -18.64425000       28.08659333 
      -18.64150000       18.94942877 
