# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the chemical potential, mu =       -4.957947 eV
#  aims_uuid : DD481180-E7BD-4871-A6C2-BEA04C886703                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
        -13.69455263        148.18513001        148.17772684
        -13.69180263        116.96571237        116.99294746
        -13.68905263         56.48623465         56.51317603
        -13.68630263         64.82411403         64.82308822
        -13.68355263        111.56660051        111.57562942
        -13.68080263        118.35944470        118.36099496
        -13.67805263         77.86308100         77.87412970
        -13.67530263         86.01312034         85.99452771
        -13.67255263         78.90415711         78.92330135
        -13.66980263        172.70605251        172.71391619
        -13.66705263        124.23682262        124.23995364
        -13.66430263         80.50565125         80.51729323
        -13.66155263         98.15840187         98.16218882
        -13.65880263        101.04112854        101.02504792
        -13.65605263         94.58463177         94.57716438
        -13.65330263        102.24091128        102.24501043
        -13.65055263         87.73683277         87.74059723
        -13.64780263        113.92197067        113.92139784
        -13.64505263         97.55200338         97.54466376
        -13.64230263        133.56192997        133.55049638
        -13.63955263         92.49676078         92.44168810
        -13.63680263         55.27918799         55.28312944
        -13.63405263         63.13179998         63.12808328
        -13.63130263         63.24242748         63.23593865
        -13.62855263         90.03989946         89.97625858
        -13.62580263        133.08530179        133.07848478
        -13.62305263        106.22268756        106.11716363
        -13.62030263        153.69703029        153.66536604
        -13.61755263        156.66022070        156.64080268
        -13.61480263        104.54790035        104.56087961
        -13.61205263         87.71711774         87.60969169
        -13.60930263        142.54051944        142.68407258
        -13.60655263         79.65192086         79.66920293
        -13.60380263        124.45313517        124.47579556
        -13.60105263        105.28488192        105.29055620
        -13.59830263         91.78846603         91.79664531
        -13.59555263         81.56174756         81.56305769
        -13.59280263         70.47251115         70.46708872
        -13.59005263        194.82889511        194.87240594
        -13.58730263         92.21453695         92.24812299
        -13.58455263         67.30639289         67.31600527
        -13.58180263        108.06597889        108.05437771
        -13.57905263        119.14086056        119.14051982
        -13.57630263         36.06735623         36.07029594
        -13.57355263        218.39766571        217.97080546
        -13.57080263         98.91010487         98.90844643
        -13.56805263        103.80725837        103.80961102
        -13.56530263        185.12133843        185.11241600
        -13.56255263         96.95751392         96.95395524
        -13.55980263        117.22586707        117.23932937
        -13.55705263         44.69753972         44.66694000
        -13.55430263        214.70526474        214.68853606
        -13.55155263        110.42428467        110.43610711
        -13.54880263         65.38738568         65.38519654
        -13.54605263        139.06211484        139.06093149
        -13.54330263        134.03454288        134.03442051
        -13.54055263         68.94120420         68.93184997
        -13.53780263        104.56956930        104.55487111
        -13.53505263        131.31374443        131.30161002
        -13.53230263         48.55308950         48.62815161
        -13.52955263         46.60712870         46.60185194
        -13.52680263         60.43620762         60.43054535
        -13.52405263         67.59414655         67.58862806
        -13.52130263        139.63263702        139.53475582
        -13.51855263         77.24033014         77.23926341
        -13.51580263         82.56863559         82.54338430
        -13.51305263        147.49893300        147.35069938
        -13.51030263        150.51961409        150.47683885
        -13.50755263        131.68634629        131.68133085
        -13.50480263         65.51123714         65.52563407
        -13.50205263         65.97258238         65.98150904
        -13.49930263         65.88934336         65.89337336
        -13.49655263         70.56930097         70.57238226
        -13.49380263         75.24925859         75.25139116
        -13.49105263         94.98668864         94.99332009
        -13.48830263         97.88898566         97.87697410
        -13.48555263        122.53433163        122.53222627
        -13.48280263        119.32285146        119.32203124
        -13.48005263        102.96890571        102.97520594
        -13.47730263         30.94039325         30.95676655
        -13.47455263         30.22147812         30.21370487
        -13.47180263         73.51900234         73.44581298
        -13.46905263        137.38412142        137.37639802
        -13.46630263         53.73175389         53.73770592
        -13.46355263         41.56566812         41.56603280
        -13.46080263         36.35774667         36.36036941
        -13.45805263         32.71443878         32.71414957
        -13.45530263         71.21031552         71.13641344
        -13.45255263        150.52998538        150.52029221
        -13.44980263         75.29145734         75.31224739
        -13.44705263          0.00000000          0.00000000
        -13.44430263         20.05230487         20.04601254
        -13.44155263         80.37376569         80.36698764
        -13.43880263        130.48523095        130.43859707
        -13.43605263        133.30533845        133.31218012
        -13.43330263        117.46902893        117.44674220
        -13.43055263        120.82631929        120.83325088
        -13.42780263        178.24433945        178.24510424
        -13.42505263         91.31855906         91.29952856
        -13.42230263        100.64790797        100.63790573
        -13.41955263        104.03833013        104.02203730
        -13.41680263         98.31979695         98.31592087
        -13.41405263        141.02243543        141.15915352
        -13.41130263         95.75914168         95.78752441
        -13.40855263         81.58608501         81.61070900
        -13.40580263         76.78287292         76.79354846
        -13.40305263         92.52710757         92.52797355
        -13.40030263        109.95646676        109.95258607
        -13.39755263        131.89143201        131.85920056
        -13.39480263         75.46188102         75.47312967
        -13.39205263         60.93484450         60.94314538
        -13.38930263        133.97715771        133.95218186
        -13.38655263        247.89763896        247.92742867
        -13.38380263        111.65536700        111.67219633
        -13.38105263         90.97739317         90.96373229
        -13.37830263        212.09973364        212.11140864
        -13.37555263        173.27492362        173.09850159
        -13.37280263         80.70009195         80.72155880
        -13.37005263         55.04489422         55.04926975
        -13.36730263         64.69300040         64.69383226
        -13.36455263         44.55586546         44.55344967
        -13.36180263         75.77649479         75.77596083
        -13.35905263         55.34688323         55.34352315
        -13.35630263        105.19697334        105.19793717
        -13.35355263         75.68219406         75.68012675
        -13.35080263        123.66141531        123.29343792
        -13.34805263        110.13083874        110.14176846
        -13.34530263        239.85700048        239.82030154
        -13.34255263        182.68097214        183.06243928
        -13.33980263        235.50263141        235.51462278
        -13.33705263         84.26107535         84.30386710
        -13.33430263         99.94876910         99.94851644
