# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.820388 eV
#    Energy (eV)      DOS 
         -3.43461223         40.14051165
         -3.42961223         41.98660271
         -3.42461223         43.83269378
         -3.41961223         45.67878484
         -3.41461223         47.52487591
         -3.40961223         49.37096697
         -3.40461223         51.21705804
         -3.39961223         44.20459323
         -3.39461223         47.98416819
         -3.38961223        113.68910864
         -3.38461223        111.64198780
         -3.37961223         72.54395616
         -3.37461223         64.25695598
         -3.36961223         55.96995581
         -3.36461223         47.68295564
         -3.35961223         39.39595546
         -3.35461223         31.40753216
         -3.34961223         52.91502546
         -3.34461223        100.59822110
         -3.33961223         81.42207498
         -3.33461223         67.65270006
         -3.32961223         53.88332514
         -3.32461223         40.11395022
         -3.31961223         62.55478780
         -3.31461223         47.21754872
         -3.30961223         33.84074024
         -3.30461223         33.47625942
         -3.29961223        134.97144751
         -3.29461223        101.89836247
         -3.28961223        134.68235082
         -3.28461223        127.35059915
         -3.27961223        106.14982952
         -3.27461223         84.94905989
         -3.26961223         63.74829026
         -3.26461223         49.12175460
         -3.25961223         47.14780199
         -3.25461223        239.85591823
         -3.24961223        347.47630941
         -3.24461223          0.00000000
         -3.23961223         71.76549017
         -3.23461223        116.26391773
         -3.22961223        192.46427203
         -3.22461223        201.88623511
         -3.21961223        252.37964051
         -3.21461223        208.56502689
         -3.20961223        120.93297926
         -3.20461223         80.29687963
         -3.19961223         56.13255142
         -3.19461223         48.68775040
         -3.18961223         44.38447147
         -3.18461223         40.08119254
         -3.17961223         36.89204420
         -3.17461223         34.16855249
         -3.16961223         34.96603163
         -3.16461223         37.13140011
         -3.15961223         39.29676860
         -3.15461223         41.46213708
         -3.14961223         43.62750557
         -3.14461223         45.79287406
         -3.13961223         47.95824254
         -3.13461223         50.12361103
         -3.12961223        109.12589994
         -3.12461223         74.37338218
         -3.11961223         72.53115106
         -3.11461223        141.97085770
         -3.10961223        141.21061886
         -3.10461223        131.79457849
         -3.09961223        149.06669309
         -3.09461223        132.53930180
         -3.08961223        121.64889740
         -3.08461223        110.75849300
         -3.07961223         99.86808860
         -3.07461223         88.97768420
         -3.06961223         78.08727980
         -3.06461223         67.19687540
         -3.05961223         56.30647100
         -3.05461223         73.58929747
         -3.04961223        100.53789377
         -3.04461223        125.47841952
         -3.03961223         61.23521807
         -3.03461223         85.17684600
         -3.02961223         77.38839310
         -3.02461223         90.40515581
         -3.01961223         89.62850241
         -3.01461223         64.81168026
         -3.00961223         53.69762599
         -3.00461223         50.11009453
         -2.99961223         46.52256307
         -2.99461223         42.93503161
         -2.98961223         39.34750015
         -2.98461223         39.35747923
         -2.97961223         57.21570383
         -2.97461223         75.07392844
         -2.96961223         27.75773478
         -2.96461223         28.64029458
         -2.95961223         90.30281827
         -2.95461223         26.87785910
         -2.94961223         76.93067047
         -2.94461223        103.73135899
         -2.93961223        137.33545032
         -2.93461223         69.66851562
         -2.92961223         63.10221285
         -2.92461223         56.53591009
         -2.91961223         25.90864091
         -2.91461223         19.24285383
         -2.90961223         29.81538174
         -2.90461223         40.38790964
         -2.89961223         50.96043755
         -2.89461223         61.53296545
         -2.88961223         72.10549336
         -2.88461223        165.58604653
         -2.87961223        171.32055777
         -2.87461223        124.25415822
         -2.86961223        259.55664764
         -2.86461223         46.14107941
         -2.85961223         43.58930617
         -2.85461223         35.83937402
         -2.84961223         34.04023059
         -2.84461223         38.73710437
         -2.83961223         43.43397816
         -2.83461223         48.13085194
         -2.82961223         52.82772573
         -2.82461223         57.52459952
         -2.81961223         85.14991195
         -2.81461223         73.90022791
         -2.80961223         48.69429222
         -2.80461223         82.33416335
         -2.79961223         86.66988818
         -2.79461223          8.75432156
         -2.78961223         25.45651371
         -2.78461223         42.15870586
         -2.77961223         58.86089801
         -2.77461223        116.97723021
         -2.76961223         48.85498318
         -2.76461223         54.07233442
         -2.75961223         44.55020867
         -2.75461223        108.09042441
         -2.74961223        189.00734926
         -2.74461223         81.04588284
         -2.73961223         85.51082618
         -2.73461223         89.97576953
         -2.72961223         82.53257918
         -2.72461223         92.15381209
         -2.71961223         87.53352973
         -2.71461223         82.91324737
         -2.70961223         64.75787991
         -2.70461223         50.29742578
         -2.69961223         45.93605367
         -2.69461223         39.53371699
         -2.68961223         39.70076167
         -2.68461223         39.86780634
         -2.67961223         41.18486798
         -2.67461223         41.84639565
         -2.66961223         44.66745105
         -2.66461223         47.48850645
         -2.65961223         50.30956185
         -2.65461223         53.13061725
         -2.64961223         55.95167265
         -2.64461223         58.77272805
         -2.63961223         81.02102174
         -2.63461223         50.94473246
         -2.62961223         36.24005369
         -2.62461223         34.93083113
         -2.61961223         33.62160857
         -2.61461223         32.31238601
         -2.60961223         31.00316346
         -2.60461223         29.69394090
         -2.59961223         28.91772038
         -2.59461223         28.98424964
         -2.58961223         29.05077890
         -2.58461223         29.11730816
         -2.57961223         29.18383741
         -2.57461223         29.25036667
         -2.56961223         29.31689593
         -2.56461223         30.66575126
         -2.55961223         31.03797957
         -2.55461223         31.04948360
         -2.54961223         31.06098763
         -2.54461223         25.37548606
         -2.53961223         25.03614701
         -2.53461223         24.69680797
         -2.52961223         24.35746892
         -2.52461223         26.29793217
         -2.51961223         25.48797666
         -2.51461223         24.67802115
         -2.50961223         23.86806564
         -2.50461223         23.05811013
         -2.49961223         22.24815462
         -2.49461223         29.23571486
         -2.48961223         27.19411106
         -2.48461223         25.15250725
         -2.47961223         23.11090345
         -2.47461223         21.06929965
         -2.46961223         64.62693894
         -2.46461223         70.85901532
         -2.45961223        108.25791839
         -2.45461223        168.10557655
         -2.44961223        190.59899117
         -2.44461223         73.05603676
         -2.43961223         79.94731964
         -2.43461223         43.53048259
         -2.42961223        111.81676323
         -2.42461223         90.41788002
         -2.41961223         74.84290394
         -2.41461223         62.31794643
         -2.40961223         58.44204514
         -2.40461223         54.56614386
         -2.39961223         50.69024257
         -2.39461223         46.81434129
         -2.38961223        101.47628580
         -2.38461223         55.76873103
         -2.37961223         52.47844572
         -2.37461223         50.37565489
         -2.36961223         78.40826030
         -2.36461223        107.27272579
         -2.35961223         50.08104028
         -2.35461223         55.02240083
         -2.34961223         59.96376138
         -2.34461223         40.37601136
         -2.33961223         31.45710876
         -2.33461223         32.65382464
         -2.32961223         33.96825348
         -2.32461223         36.03127230
         -2.31961223         37.23103243
         -2.31461223         36.67233617
         -2.30961223         35.87238172
         -2.30461223         38.66589416
         -2.29961223         39.28652982
         -2.29461223         39.90716548
         -2.28961223         40.52780114
         -2.28461223         41.14843680
         -2.27961223         27.98009644
         -2.27461223         29.42244414
         -2.26961223         30.86479184
         -2.26461223         24.64733967
         -2.25961223         16.37877785
         -2.25461223         72.33349131
         -2.24961223         65.57111905
         -2.24461223         80.65756653
         -2.23961223         72.76218153
         -2.23461223         81.16609921
         -2.22961223         73.31733557
         -2.22461223         65.46857192
         -2.21961223         57.61980828
         -2.21461223         49.77104463
         -2.20961223         41.92228099
         -2.20461223         34.07351735
         -2.19961223         26.22475370
         -2.19461223         26.86125877
         -2.18961223         36.40863285
         -2.18461223         47.72732931
         -2.17961223         59.04602578
         -2.17461223         35.27577614
         -2.16961223         35.84743089
         -2.16461223         36.41908565
         -2.15961223         36.99074041
         -2.15461223         37.56239516
         -2.14961223         48.52434069
         -2.14461223         79.04800659
         -2.13961223         41.75195177
         -2.13461223         19.90432958
         -2.12961223         19.98620673
         -2.12461223         20.06808388
         -2.11961223         20.14996103
         -2.11461223         20.23183818
         -2.10961223         20.31371532
         -2.10461223         20.39559247
         -2.09961223         20.47746962
         -2.09461223         20.55934677
         -2.08961223         20.64122392
         -2.08461223         20.72310106
         -2.07961223         38.78318919
         -2.07461223         39.89724754
         -2.06961223         41.01130588
         -2.06461223         47.97020420
         -2.05961223         83.43538044
         -2.05461223         64.79702381
         -2.04961223         46.15866717
         -2.04461223         29.61106843
         -2.03961223         28.87878806
         -2.03461223         29.54748091
         -2.02961223         30.21617376
         -2.02461223         30.88486661
         -2.01961223         31.55355946
         -2.01461223         32.22225230
         -2.00961223         32.89094515
         -2.00461223         81.12966652
         -1.99961223         84.66762829
         -1.99461223         39.93918559
         -1.98961223         49.47079786
         -1.98461223         59.00241012
         -1.97961223         68.53402239
         -1.97461223         78.06563466
         -1.96961223         83.65275949
         -1.96461223         50.84848135
         -1.95961223         47.74772311
         -1.95461223         60.96788033
         -1.94961223         56.92559267
         -1.94461223         52.88330502
         -1.93961223         48.84101736
         -1.93461223         44.79872970
         -1.92961223         34.55697318
         -1.92461223         26.34433964
         -1.91961223         24.73626259
         -1.91461223         23.12818554
         -1.90961223         21.52010850
         -1.90461223         19.91203145
         -1.89961223         18.30395440
         -1.89461223         16.69587735
         -1.88961223         15.08780031
         -1.88461223         13.10388340
         -1.87961223         10.85857555
         -1.87461223         10.26171957
         -1.86961223         29.18998964
         -1.86461223         32.28328343
         -1.85961223         35.37657722
         -1.85461223         38.46987102
         -1.84961223         41.56316481
         -1.84461223         44.65645860
         -1.83961223         47.74975239
         -1.83461223         50.84304618
         -1.82961223         53.16084514
         -1.82461223         26.38417986
         -1.81961223         30.57079396
         -1.81461223         34.75740807
         -1.80961223         38.94402217
         -1.80461223         43.13063627
         -1.79961223        101.66161917
         -1.79461223         93.55475176
         -1.78961223         87.76508240
         -1.78461223         82.50296208
         -1.77961223        202.26504144
         -1.77461223        179.18325812
         -1.76961223         47.65801826
         -1.76461223         52.35172722
         -1.75961223         57.04543619
         -1.75461223         61.73914515
         -1.74961223         68.99107811
         -1.74461223         51.56054248
         -1.73961223         34.13000686
         -1.73461223         37.28676416
         -1.72961223         69.93111467
         -1.72461223         45.59577493
         -1.71961223         37.62752460
         -1.71461223         42.39552055
         -1.70961223         30.06459015
         -1.70461223         30.38073712
         -1.69961223         30.69688408
         -1.69461223         31.01303105
         -1.68961223         46.49583745
         -1.68461223         65.91972540
         -1.67961223         69.49787435
         -1.67461223         55.04034486
         -1.66961223         51.18875609
         -1.66461223         47.33716731
         -1.65961223         43.48557853
         -1.65461223         89.74356320
         -1.64961223        103.01225900
         -1.64461223         82.13936322
         -1.63961223        133.78076735
         -1.63461223        128.57652480
         -1.62961223         57.91441523
         -1.62461223         33.26849997
         -1.61961223         31.22865496
         -1.61461223         29.18880994
         -1.60961223         27.14896492
         -1.60461223         60.31980415
         -1.59961223        144.69668091
         -1.59461223        112.85202886
         -1.58961223         81.48031832
         -1.58461223         50.12057975
         -1.57961223        114.97176367
         -1.57461223          7.00403918
         -1.56961223          4.25998722
         -1.56461223          1.51593525
         -1.55961223          1.58417000
         -1.55461223          6.64350031
         -1.54961223         11.70283063
         -1.54461223         16.76216094
         -1.53961223         68.17691091
         -1.53461223        504.95756842
         -1.52961223         86.16312782
         -1.52461223        143.90214153
         -1.51961223         80.44672873
         -1.51461223         71.89809126
         -1.50961223         63.34945379
         -1.50461223         54.80081633
         -1.49961223         54.01147391
         -1.49461223         73.49364111
         -1.48961223         68.14096689
         -1.48461223         65.80752866
         -1.47961223         63.47409042
         -1.47461223         61.14065219
         -1.46961223         58.80721396
         -1.46461223         37.50850196
         -1.45961223         37.17856497
         -1.45461223         20.38259650
